testcase,npernode,nprocs,image_size,total_weight,target_per_proc,scatter_time,avg_render_time,composite_time,total_time
imbalance_c100000,1,4,76800,3709266845.74,927316711.43,0.032699,0.438194,0.519048,0.989941000
imbalance_c100000,2,8,76800,3709266845.74,463658355.72,0.052462,0.219067,0.310046,0.581575000
imbalance_c100000,4,16,76800,3709266845.74,231829177.86,0.084398,0.122026,0.234061,0.440485000
imbalance_c100000,8,32,76800,3709266845.74,115914588.93,0.139965,0.061251,0.177277,0.378493000
imbalance_c100000,12,48,76800,3709266845.74,77276392.62,0.194145,0.042422,0.158521,0.395088000
imbalance_c100000,16,64,76800,3709266845.74,57957294.46,0.882769,0.029107,0.171183,1.083059000
medium_c200000,1,4,307200,28027119.93,7006779.98,0.042890,0.502465,0.640728,1.186083000
medium_c200000,2,8,307200,28027119.93,3503389.99,0.063559,0.260966,0.406812,0.731337000
medium_c200000,4,16,307200,28027119.93,1751695.00,0.084676,0.130835,0.308801,0.524312000
medium_c200000,8,32,307200,28027119.93,875847.50,0.144860,0.070332,0.304975,0.520167000
medium_c200000,12,48,307200,28027119.93,583898.33,0.160277,0.048683,0.323771,0.532731000
medium_c200000,16,64,307200,28027119.93,437923.75,0.841195,0.037971,0.356067,1.235233000
large_c1000000,1,4,307200,140305555.48,35076388.87,0.062058,2.484326,2.649039,5.195423000
large_c1000000,2,8,307200,140305555.48,17538194.44,0.076134,1.278699,1.482728,2.837561000
large_c1000000,4,16,307200,140305555.48,8769097.22,0.147949,0.641421,0.828271,1.617641000
large_c1000000,8,32,307200,140305555.48,4384548.61,0.189303,0.318501,0.559100,1.066904000
large_c1000000,12,48,307200,140305555.48,2923032.41,0.247762,0.216900,0.494305,0.958967000
large_c1000000,16,64,307200,140305555.48,2192274.30,0.893703,0.164628,0.479518,1.537849000
large_c2000000,1,4,307200,280806826.90,70201706.72,2.017489,3.697387,3.523286,9.238162000
large_c2000000,2,8,307200,280806826.90,35100853.36,0.115409,2.552047,2.842657,5.510113000
large_c2000000,4,16,307200,280806826.90,17550426.68,0.188898,1.287032,1.532972,3.008902000
large_c2000000,8,32,307200,280806826.90,8775213.34,0.263847,0.647794,0.871603,1.783244000
large_c2000000,12,48,307200,280806826.90,5850142.23,0.284158,0.430492,0.703516,1.418166000
large_c2000000,16,64,307200,280806826.90,4387606.67,0.961554,0.320836,0.638076,1.920466000
large_c4000000,1,4,307200,561477667.03,140369416.76,0.165777,7.411412,7.996526,15.573715000
large_c4000000,2,8,307200,561477667.03,70184708.38,0.189652,4.467522,4.791903,9.449077000
large_c4000000,4,16,307200,561477667.03,35092354.19,0.222212,2.337987,2.794244,5.354443000
large_c4000000,8,32,307200,561477667.03,17546177.09,0.310993,1.267197,1.501754,3.079944000
large_c4000000,12,48,307200,561477667.03,11697451.40,0.378289,0.851201,1.125657,2.355147000
large_c4000000,16,64,307200,561477667.03,8773088.55,1.219181,0.642623,0.950994,2.812798000
