testcase,npernode,nprocs,image_size,total_weight,target_per_proc,scatter_time,min_render_time,max_render_time,avg_render_time,composite_time,total_time
imbalance_c100000,1,4,76800,3709266845.74,927316711.43,0.041891,0.140878,0.162011,0.147246,0.243067,0.284964
imbalance_c100000,2,8,76800,3709266845.74,463658355.72,0.054071,0.070099,0.092706,0.074037,0.154965,0.209042
imbalance_c100000,4,16,76800,3709266845.74,231829177.86,0.095413,0.034336,0.057008,0.037615,0.140089,0.235512
imbalance_c100000,8,32,76800,3709266845.74,115914588.93,0.163393,0.016040,0.036650,0.020607,0.111947,0.275350
imbalance_c100000,12,48,76800,3709266845.74,77276392.62,0.191085,0.010592,0.027324,0.015020,0.100106,0.291200
imbalance_c100000,16,64,76800,3709266845.74,57957294.46,1.035086,0.000475,0.031268,0.009717,0.097273,1.132366
medium_c200000,1,4,307200,28027119.93,7006779.98,0.048521,0.188837,0.190138,0.189491,0.305251,0.353778
medium_c200000,2,8,307200,28027119.93,3503389.99,0.064847,0.096023,0.096367,0.096154,0.219983,0.284837
medium_c200000,4,16,307200,28027119.93,1751695.00,0.090756,0.044597,0.052826,0.049309,0.189173,0.279941
medium_c200000,8,32,307200,28027119.93,875847.50,0.156629,0.025324,0.034880,0.027796,0.160110,0.316755
medium_c200000,12,48,307200,28027119.93,583898.33,0.179671,0.017738,0.026659,0.019544,0.148304,0.327985
medium_c200000,16,64,307200,28027119.93,437923.75,1.051236,0.013929,0.019490,0.014367,0.149793,1.201047
large_c1000000,1,4,307200,140305555.48,35076388.87,0.074551,0.939776,0.942911,0.941236,1.058938,1.133496
large_c1000000,2,8,307200,140305555.48,17538194.44,0.096192,0.471900,0.473544,0.473043,0.596613,0.692812
large_c1000000,4,16,307200,140305555.48,8769097.22,0.159362,0.237920,0.239452,0.238451,0.385004,0.544373
large_c1000000,8,32,307200,140305555.48,4384548.61,0.219578,0.118631,0.122145,0.120532,0.259614,0.479199
large_c1000000,12,48,307200,140305555.48,2923032.41,0.300452,0.080127,0.119105,0.083718,0.217462,0.517924
large_c1000000,16,64,307200,140305555.48,2192274.30,1.090351,0.060809,0.093016,0.062496,0.195699,1.286064
large_c2000000,1,4,307200,280806826.90,70201706.72,0.117824,1.879777,1.891281,1.883365,2.007630,2.125461
large_c2000000,2,8,307200,280806826.90,35100853.36,0.137284,0.941726,0.949935,0.944026,1.069542,1.206836
large_c2000000,4,16,307200,280806826.90,17550426.68,0.216205,0.472094,0.480356,0.474253,0.615752,0.831970
large_c2000000,8,32,307200,280806826.90,8775213.34,0.299744,0.236742,0.269768,0.240872,0.384618,0.684372
large_c2000000,12,48,307200,280806826.90,5850142.23,0.343015,0.158506,0.174835,0.159697,0.294528,0.637553
large_c2000000,16,64,307200,280806826.90,4387606.67,1.253198,0.119348,0.126976,0.120141,0.246644,1.499851
large_c4000000,1,4,307200,561477667.03,140369416.76,0.198982,3.629026,3.807641,3.745042,3.928512,4.127501
large_c4000000,2,8,307200,561477667.03,70184708.38,0.213895,1.878804,1.891165,1.881685,2.011315,2.225220
large_c4000000,4,16,307200,561477667.03,35092354.19,0.294548,0.939830,0.945232,0.942130,1.091474,1.386037
large_c4000000,8,32,307200,561477667.03,17546177.09,0.445713,0.470830,0.475329,0.472355,0.615489,1.061212
large_c4000000,12,48,307200,561477667.03,11697451.40,0.438568,0.314788,0.332619,0.315908,0.455489,0.894067
large_c4000000,16,64,307200,561477667.03,8773088.55,1.454409,0.236525,0.250257,0.237775,0.368612,1.823034
