testcase,npernode,nprocs,image_size,total_weight,target_per_proc,scatter_time,min_render_time,max_render_time,avg_render_time,composite_time,total_time
imbalance_c100000,12,48,76800,3709266845.74,77276392.62,0.200180,0.010527,0.027333,0.014351,0.099156,0.299344
imbalance_c100000,13,52,76800,3709266845.74,71332054.73,0.198875,0.009776,0.026842,0.012680,0.096833,0.295717
imbalance_c100000,14,56,76800,3709266845.74,66236907.96,0.216630,0.000472,0.032973,0.013056,0.105944,0.322585
imbalance_c100000,15,60,76800,3709266845.74,61821114.10,0.489527,0.000440,0.032041,0.010363,0.099646,0.589182
imbalance_c100000,16,64,76800,3709266845.74,57957294.46,1.095603,0.000434,0.031131,0.009694,0.097157,1.192768
medium_c200000,12,48,307200,28027119.93,583898.33,0.231606,0.011124,0.024145,0.018915,0.147305,0.378921
medium_c200000,13,52,307200,28027119.93,538983.08,0.230991,0.016355,0.025697,0.018152,0.147999,0.379001
medium_c200000,14,56,307200,28027119.93,500484.28,0.228344,0.014761,0.030949,0.017155,0.147787,0.376141
medium_c200000,15,60,307200,28027119.93,467118.67,0.530076,0.014092,0.018927,0.014779,0.145460,0.675554
medium_c200000,16,64,307200,28027119.93,437923.75,1.062130,0.013660,0.020044,0.014382,0.147975,1.210117
large_c1000000,12,48,307200,140305555.48,2923032.41,0.264202,0.079454,0.081810,0.080576,0.214698,0.478911
large_c1000000,13,52,307200,140305555.48,2698183.76,0.238511,0.073536,0.109696,0.077465,0.202813,0.441333
large_c1000000,14,56,307200,140305555.48,2505456.35,0.300249,0.065902,0.091639,0.071485,0.204292,0.504547
large_c1000000,15,60,307200,140305555.48,2338425.92,0.578508,0.063834,0.107098,0.070930,0.218253,0.796772
large_c1000000,16,64,307200,140305555.48,2192274.30,1.207653,0.060935,0.094944,0.063736,0.198325,1.405989
large_c2000000,12,48,307200,280806826.90,5850142.23,0.340069,0.158480,0.190424,0.162055,0.295545,0.635625
large_c2000000,13,52,307200,280806826.90,5400131.29,0.343443,0.089428,0.166634,0.146356,0.279211,0.622660
large_c2000000,14,56,307200,280806826.90,5014407.62,0.347293,0.136161,0.172747,0.137586,0.271541,0.618846
large_c2000000,15,60,307200,280806826.90,4680113.78,0.710523,0.126951,0.148666,0.130772,0.258559,0.969092
large_c2000000,16,64,307200,280806826.90,4387606.67,1.253500,0.119388,0.147407,0.121458,0.253064,1.506574
large_c4000000,12,48,307200,561477667.03,11697451.40,0.442564,0.314560,0.337725,0.316966,0.456048,0.898622
large_c4000000,13,52,307200,561477667.03,10797647.44,0.498969,0.290463,0.306118,0.292262,0.431133,0.930113
large_c4000000,14,56,307200,561477667.03,10026386.91,0.433354,0.174506,0.273551,0.269027,0.407922,0.841285
large_c4000000,15,60,307200,561477667.03,9357961.12,0.816220,0.252247,0.270321,0.253621,0.381713,1.197944
large_c4000000,16,64,307200,561477667.03,8773088.55,1.485176,0.236667,0.245004,0.237522,0.369300,1.854487
