testcase,npernode,nprocs,image_size,total_weight,target_per_proc,scatter_time,min_render_time,max_render_time,avg_render_time,composite_time,total_time,img_vs_base,wt_vs_base,time_vs_base
imbalance_c100000,1,4,,,,0.038897,0.143774,0.157019,0.148036,0.216674,0.256017,,,0.6797
imbalance_c100000,2,8,,,,0.052381,0.072008,0.084889,0.073768,0.148906,0.201749,,,0.6496
imbalance_c100000,4,16,,,,0.086817,0.036041,0.048926,0.037323,0.141740,0.229008,,,0.6793
imbalance_c100000,8,32,,,,0.156317,0.018023,0.030809,0.019554,0.134733,0.291487,,,0.6484
imbalance_c100000,12,48,,,,0.202475,0.000013,0.026058,0.012818,0.140580,0.343498,,,0.5641
imbalance_c100000,16,64,,,,1.036429,0.008981,0.018068,0.009645,0.151733,1.188605,,,0.7891
medium_c200000,1,4,,,,0.059156,0.189033,0.189796,0.189359,0.315916,0.376661,,,1.0000
medium_c200000,2,8,,,,0.072185,0.094736,0.095703,0.095287,0.236825,0.310582,,,1.0000
medium_c200000,4,16,,,,0.105130,0.047572,0.048769,0.048023,0.230357,0.337115,,,1.0000
medium_c200000,8,32,,,,0.168511,0.023992,0.034319,0.025959,0.279344,0.449537,,,1.0000
medium_c200000,12,48,,,,0.244733,0.015898,0.022376,0.017361,0.362523,0.608944,,,1.0000
medium_c200000,16,64,,,,1.073330,0.012261,0.013624,0.012528,0.431279,1.506331,,,1.0000
large_c1000000,1,4,,,,0.107675,0.944618,0.951811,0.948503,1.077104,1.186779,,,3.1508
large_c1000000,2,8,,,,0.129832,0.472932,0.479287,0.476351,0.616040,0.748036,,,2.4085
large_c1000000,4,16,,,,0.191341,0.236721,0.298525,0.245612,0.430447,0.623577,,,1.8497
large_c1000000,8,32,,,,0.248256,0.118270,0.146768,0.120665,0.378392,0.628563,,,1.3982
large_c1000000,12,48,,,,0.318982,0.078902,0.118214,0.081271,0.408702,0.729827,,,1.1985
large_c1000000,16,64,,,,1.109932,0.059489,0.080957,0.061197,0.477756,1.590750,,,1.0560
large_c2000000,1,4,,,,0.169442,1.884805,1.898241,1.891088,2.018480,2.191088,,,5.8171
large_c2000000,2,8,,,,0.198357,0.944694,0.956475,0.950062,1.096423,1.297606,,,4.1780
large_c2000000,4,16,,,,0.263704,0.472506,0.481305,0.475730,0.663987,0.930202,,,2.7593
large_c2000000,8,32,,,,0.346407,0.236020,0.248582,0.238638,0.502430,0.851168,,,1.8934
large_c2000000,12,48,,,,0.398602,0.157718,0.167352,0.159244,0.491856,0.892808,,,1.4662
large_c2000000,16,64,,,,1.291325,0.118412,0.136197,0.119567,0.537947,1.831768,,,1.2160
large_c4000000,1,4,,,,2.073839,2.497825,3.657585,3.112295,2.756613,4.834995,,,12.8365
large_c4000000,2,8,,,,1.942442,1.140103,1.911638,1.604904,1.941484,3.887087,,,12.5155
large_c4000000,4,16,,,,0.411816,0.944094,0.994219,0.953440,1.168789,1.584257,,,4.6995
large_c4000000,8,32,,,,0.510162,0.471790,0.505382,0.476762,0.743998,1.257756,,,2.7979
large_c4000000,12,48,,,,0.514127,0.314916,0.319712,0.317135,0.651051,1.168640,,,1.9191
large_c4000000,16,64,,,,1.463602,0.236197,0.241530,0.237757,0.651394,2.118542,,,1.4064
