testcase,npernode,nprocs,old_total,new_total,diff,improvement_pct,result
imbalance_c100000,1,4,0.833347,0.859858,-0.026511,-3.18,loss
imbalance_c100000,2,8,0.495761,0.657238,-0.161477,-32.57,loss
imbalance_c100000,4,16,0.385872,0.632946,-0.247074,-64.03,loss
imbalance_c100000,8,32,0.366886,0.657653,-0.290767,-79.25,loss
imbalance_c100000,12,48,0.362232,0.751290,-0.389058,-107.41,loss
imbalance_c100000,16,64,1.072060,2.127452,-1.055392,-98.45,loss
medium_c200000,1,4,1.014733,1.877528,-0.862795,-85.03,loss
medium_c200000,2,8,0.624715,1.589448,-0.964733,-154.43,loss
medium_c200000,4,16,0.514665,1.484498,-0.969833,-188.44,loss
medium_c200000,8,32,0.487899,1.495440,-1.007541,-206.51,loss
medium_c200000,12,48,0.525537,1.541301,-1.015764,-193.28,loss
medium_c200000,16,64,1.281545,2.953011,-1.671466,-130.43,loss
large_c1000000,1,4,4.337828,4.460176,-0.122348,-2.82,loss
large_c1000000,2,8,2.297171,2.894188,-0.597017,-25.99,loss
large_c1000000,4,16,1.377313,2.260536,-0.883223,-64.13,loss
large_c1000000,8,32,0.967317,1.966612,-0.999295,-103.31,loss
large_c1000000,12,48,0.881135,1.941165,-1.060030,-120.30,loss
large_c1000000,16,64,1.473141,3.236980,-1.763839,-119.73,loss
large_c2000000,1,4,9.591937,13.548331,-3.956394,-41.25,loss
large_c2000000,2,8,4.402173,4.368938,+0.033235,0.75,win
large_c2000000,4,16,2.456418,3.136267,-0.679849,-27.68,loss
large_c2000000,8,32,1.523566,2.447481,-0.923915,-60.64,loss
large_c2000000,12,48,1.255070,2.386167,-1.131097,-90.12,loss
large_c2000000,16,64,1.897653,3.656858,-1.759205,-92.70,loss
large_c4000000,1,4,12.493055,14.064370,-1.571315,-12.58,loss
large_c4000000,2,8,9.534031,10.588675,-1.054644,-11.06,loss
large_c4000000,4,16,4.529918,4.755564,-0.225646,-4.98,loss
large_c4000000,8,32,2.653105,3.391184,-0.738079,-27.82,loss
large_c4000000,12,48,2.077322,3.046412,-0.969090,-46.65,loss
large_c4000000,16,64,2.556375,4.486157,-1.929782,-75.49,loss
