testcase,npernode,nprocs,image_size,total_weight,target_per_proc,scatter_time,avg_render_time,composite_time,total_time
imbalance_c100000,1,4,76800,3709266845.74,927316711.43,0.036577,0.370705,0.478770,0.886052000
imbalance_c100000,2,8,76800,3709266845.74,463658355.72,0.046506,0.179501,0.268895,0.494902000
imbalance_c100000,4,16,76800,3709266845.74,231829177.86,0.083168,0.090450,0.206298,0.379916000
imbalance_c100000,8,32,76800,3709266845.74,115914588.93,0.129585,0.050102,0.168575,0.348262000
imbalance_c100000,12,48,76800,3709266845.74,77276392.62,0.164505,0.033451,0.150948,0.348904000
imbalance_c100000,16,64,76800,3709266845.74,57957294.46,0.930930,0.024667,0.163045,1.118642000
medium_c200000,1,4,307200,28027119.93,7006779.98,0.056600,0.411347,0.553606,1.021553000
medium_c200000,2,8,307200,28027119.93,3503389.99,0.069030,0.207024,0.360798,0.636852000
medium_c200000,4,16,307200,28027119.93,1751695.00,0.083827,0.111081,0.291079,0.485987000
medium_c200000,8,32,307200,28027119.93,875847.50,0.163339,0.056245,0.293447,0.513031000
medium_c200000,12,48,307200,28027119.93,583898.33,0.207159,0.036955,0.319518,0.563632000
medium_c200000,16,64,307200,28027119.93,437923.75,0.945773,0.028615,0.353596,1.327984000
large_c1000000,1,4,307200,140305555.48,35076388.87,0.075404,2.045029,2.216331,4.336764000
large_c1000000,2,8,307200,140305555.48,17538194.44,0.078571,1.032505,1.199815,2.310891000
large_c1000000,4,16,307200,140305555.48,8769097.22,0.127005,0.517611,0.709787,1.354403000
large_c1000000,8,32,307200,140305555.48,4384548.61,0.206299,0.262823,0.510130,0.979252000
large_c1000000,12,48,307200,140305555.48,2923032.41,0.275461,0.175217,0.461213,0.911891000
large_c1000000,16,64,307200,140305555.48,2192274.30,1.002078,0.129809,0.455897,1.587784000
large_c2000000,1,4,307200,280806826.90,70201706.72,0.111312,3.484874,4.076828,7.673014000
large_c2000000,2,8,307200,280806826.90,35100853.36,0.113563,2.078443,2.263443,4.455449000
large_c2000000,4,16,307200,280806826.90,17550426.68,0.189308,1.040302,1.243944,2.473554000
large_c2000000,8,32,307200,280806826.90,8775213.34,0.264870,0.517966,0.772309,1.555145000
large_c2000000,12,48,307200,280806826.90,5850142.23,0.320762,0.344111,0.635047,1.299920000
large_c2000000,16,64,307200,280806826.90,4387606.67,1.135820,0.260198,0.587420,1.983438000
large_c4000000,1,4,307200,561477667.03,140369416.76,0.190123,6.060320,6.353120,12.603563000
large_c4000000,2,8,307200,561477667.03,70184708.38,0.189232,3.543783,4.155606,7.888621000
large_c4000000,4,16,307200,561477667.03,35092354.19,0.237727,1.772936,2.188031,4.198694000
large_c4000000,8,32,307200,561477667.03,17546177.09,0.330855,1.024434,1.349129,2.704418000
large_c4000000,12,48,307200,561477667.03,11697451.40,0.448867,0.686107,0.986254,2.121228000
large_c4000000,16,64,307200,561477667.03,8773088.55,1.344422,0.517138,0.843504,2.705064000
