testcase,npernode,nprocs,image_size,total_weight,target_per_proc,scatter_time,avg_render_time,composite_time,total_time
imbalance_c100000,1,4,76800,3709266845.74,927316711.43,0.034820,0.438569,0.518753,0.992142000
imbalance_c100000,2,8,76800,3709266845.74,463658355.72,0.039982,0.220214,0.311099,0.571295000
imbalance_c100000,4,16,76800,3709266845.74,231829177.86,0.084329,0.120975,0.228222,0.433526000
imbalance_c100000,8,32,76800,3709266845.74,115914588.93,0.138244,0.063812,0.183367,0.385423000
imbalance_c100000,12,48,76800,3709266845.74,77276392.62,0.161341,0.041773,0.155287,0.358401000
imbalance_c100000,16,64,76800,3709266845.74,57957294.46,0.827086,0.030175,0.169632,1.026893000
medium_c200000,1,4,307200,28027119.93,7006779.98,0.043880,0.501463,0.640601,1.185944000
medium_c200000,2,8,307200,28027119.93,3503389.99,0.057011,0.258210,0.405837,0.721058000
medium_c200000,4,16,307200,28027119.93,1751695.00,0.089166,0.136795,0.358392,0.584353000
medium_c200000,8,32,307200,28027119.93,875847.50,0.118281,0.068156,0.305236,0.491673000
medium_c200000,12,48,307200,28027119.93,583898.33,0.184119,0.048925,0.327940,0.560984000
medium_c200000,16,64,307200,28027119.93,437923.75,0.827378,0.037031,0.356509,1.220918000
large_c1000000,1,4,307200,140305555.48,35076388.87,0.060815,2.493781,2.693706,5.248302000
large_c1000000,2,8,307200,140305555.48,17538194.44,0.084171,1.275593,1.479310,2.839074000
large_c1000000,4,16,307200,140305555.48,8769097.22,0.136527,0.644167,0.828493,1.609187000
large_c1000000,8,32,307200,140305555.48,4384548.61,0.216881,0.327274,0.572183,1.116338000
large_c1000000,12,48,307200,140305555.48,2923032.41,0.238097,0.218779,0.494570,0.951446000
large_c1000000,16,64,307200,140305555.48,2192274.30,0.868314,0.167928,0.480634,1.516876000
large_c2000000,1,4,307200,280806826.90,70201706.72,0.099934,4.507744,5.249734,9.857412000
large_c2000000,2,8,307200,280806826.90,35100853.36,0.112596,2.528418,2.815450,5.456464000
large_c2000000,4,16,307200,280806826.90,17550426.68,0.193909,1.284048,1.541040,3.018997000
large_c2000000,8,32,307200,280806826.90,8775213.34,0.263380,0.644714,0.870581,1.778675000
large_c2000000,12,48,307200,280806826.90,5850142.23,0.324941,0.435093,0.707108,1.467142000
large_c2000000,16,64,307200,280806826.90,4387606.67,1.022867,0.326254,0.637578,1.986699000
large_c4000000,1,4,307200,561477667.03,140369416.76,1.771266,7.095556,7.076421,15.943243000
large_c4000000,2,8,307200,561477667.03,70184708.38,1.750149,3.648620,3.774385,9.173154000
large_c4000000,4,16,307200,561477667.03,35092354.19,0.251384,2.241260,2.693547,5.186191000
large_c4000000,8,32,307200,561477667.03,17546177.09,0.314752,1.278705,1.508916,3.102373000
large_c4000000,12,48,307200,561477667.03,11697451.40,0.384491,0.844815,1.125831,2.355137000
large_c4000000,16,64,307200,561477667.03,8773088.55,1.071356,0.638720,0.957771,2.667847000
