testcase,npernode,nprocs,image_size,total_weight,target_per_proc,scatter_time,avg_render_time,composite_time,total_time
imbalance_c100000,1,4,76800,3709266845.74,927316711.43,0.033890,0.147461,0.245651,0.279547
imbalance_c100000,2,8,76800,3709266845.74,463658355.72,0.039995,0.074098,0.155132,0.195133
imbalance_c100000,4,16,76800,3709266845.74,231829177.86,0.094121,0.036739,0.151840,0.245968
imbalance_c100000,8,32,76800,3709266845.74,115914588.93,0.145417,0.020709,0.116316,0.261740
imbalance_c100000,12,48,76800,3709266845.74,77276392.62,0.181069,0.014724,0.098747,0.279829
imbalance_c100000,16,64,76800,3709266845.74,57957294.46,1.025647,0.009701,0.096468,1.122123
medium_c200000,1,4,307200,28027119.93,7006779.98,0.047136,0.189456,0.305240,0.352383
medium_c200000,2,8,307200,28027119.93,3503389.99,0.074530,0.096802,0.219230,0.293770
medium_c200000,4,16,307200,28027119.93,1751695.00,0.097580,0.053708,0.185896,0.283487
medium_c200000,8,32,307200,28027119.93,875847.50,0.157528,0.026696,0.160131,0.317667
medium_c200000,12,48,307200,28027119.93,583898.33,0.194275,0.019255,0.147981,0.342269
medium_c200000,16,64,307200,28027119.93,437923.75,1.062685,0.014361,0.147882,1.210581
large_c1000000,1,4,307200,140305555.48,35076388.87,0.072600,0.941330,1.058347,1.130955
large_c1000000,2,8,307200,140305555.48,17538194.44,0.092871,0.474048,0.597703,0.690582
large_c1000000,4,16,307200,140305555.48,8769097.22,0.154611,0.243240,0.384252,0.538873
large_c1000000,8,32,307200,140305555.48,4384548.61,0.249511,0.119046,0.260156,0.509677
large_c1000000,12,48,307200,140305555.48,2923032.41,0.272370,0.082929,0.215647,0.488029
large_c1000000,16,64,307200,140305555.48,2192274.30,1.104922,0.061522,0.189932,1.294864
large_c2000000,1,4,307200,280806826.90,70201706.72,0.111603,1.879830,1.996212,2.107824
large_c2000000,2,8,307200,280806826.90,35100853.36,0.138139,0.943559,1.064719,1.202867
large_c2000000,4,16,307200,280806826.90,17550426.68,0.220883,0.474283,0.618837,0.839731
large_c2000000,8,32,307200,280806826.90,8775213.34,0.297596,0.238954,0.381610,0.679214
large_c2000000,12,48,307200,280806826.90,5850142.23,0.329123,0.160416,0.297465,0.626603
large_c2000000,16,64,307200,280806826.90,4387606.67,1.304985,0.120768,0.251655,1.556649
large_c4000000,1,4,307200,561477667.03,140369416.76,2.045325,3.079333,3.220210,5.265548
large_c4000000,2,8,307200,561477667.03,70184708.38,2.097537,1.583740,1.899755,3.997308
large_c4000000,4,16,307200,561477667.03,35092354.19,0.232868,0.895056,1.034147,1.267020
large_c4000000,8,32,307200,561477667.03,17546177.09,0.383712,0.472463,0.623301,1.007023
large_c4000000,12,48,307200,561477667.03,11697451.40,0.450801,0.316265,0.455364,0.906175
large_c4000000,16,64,307200,561477667.03,8773088.55,1.533527,0.237498,0.369528,1.903068
