testcase,npernode,nprocs,image_size,total_weight,target_per_proc,scatter_time,avg_render_time,composite_time,total_time
imbalance_c100000,1,4,76800,122602358.00,30650589.50,0.041195,0.148876,0.239551,0.280752
imbalance_c100000,2,8,76800,122602358.00,15325294.75,0.051176,0.074724,0.147845,0.199028
imbalance_c100000,4,16,76800,122602358.00,7662647.38,0.100789,0.039284,0.129833,0.230632
imbalance_c100000,8,32,76800,122602358.00,3831323.69,0.145921,0.019694,0.109056,0.254991
imbalance_c100000,12,48,76800,122602358.00,2554215.79,0.199446,0.014157,0.097580,0.297037
imbalance_c100000,16,64,76800,122602358.00,1915661.84,1.069554,0.010071,0.087338,1.156904
medium_c200000,1,4,307200,117343426.00,29335856.50,0.047431,0.191965,0.307947,0.355384
medium_c200000,2,8,307200,117343426.00,14667928.25,0.072883,0.096652,0.219512,0.292402
medium_c200000,4,16,307200,117343426.00,7333964.12,0.109793,0.052013,0.192259,0.302069
medium_c200000,8,32,307200,117343426.00,3666982.06,0.163009,0.027546,0.166476,0.329495
medium_c200000,12,48,307200,117343426.00,2444654.71,0.213464,0.018584,0.149899,0.363376
medium_c200000,16,64,307200,117343426.00,1833491.03,1.051079,0.014491,0.147171,1.198259
large_c1000000,1,4,307200,587376180.00,146844045.00,0.092378,0.947676,1.060913,1.153297
large_c1000000,2,8,307200,587376180.00,73422022.50,0.113480,0.476980,0.602730,0.716218
large_c1000000,4,16,307200,587376180.00,36711011.25,0.183020,0.243914,0.382151,0.565182
large_c1000000,8,32,307200,587376180.00,18355505.62,0.258607,0.123483,0.262057,0.520678
large_c1000000,12,48,307200,587376180.00,12237003.75,0.325704,0.084077,0.216765,0.542477
large_c1000000,16,64,307200,587376180.00,9177752.81,1.094567,0.063346,0.195381,1.289962
large_c2000000,1,4,307200,1175795120.00,293948780.00,0.152219,1.895781,2.015956,2.168182
large_c2000000,2,8,307200,1175795120.00,146974390.00,0.181585,0.956979,1.104916,1.286510
large_c2000000,4,16,307200,1175795120.00,73487195.00,0.249526,0.476519,0.624902,0.874439
large_c2000000,8,32,307200,1175795120.00,36743597.50,0.328146,0.239946,0.380726,0.708880
large_c2000000,12,48,307200,1175795120.00,24495731.67,0.398160,0.161115,0.295812,0.693985
large_c2000000,16,64,307200,1175795120.00,18371798.75,1.293893,0.122618,0.251233,1.545135
large_c4000000,1,4,307200,2350836575.00,587709143.75,2.089010,2.890934,2.701698,4.790726
large_c4000000,2,8,307200,2350836575.00,293854571.88,0.302927,1.900778,2.030800,2.333741
large_c4000000,4,16,307200,2350836575.00,146927285.94,0.401857,0.961150,1.110565,1.512432
large_c4000000,8,32,307200,2350836575.00,73463642.97,0.463388,0.476020,0.621106,1.084504
large_c4000000,12,48,307200,2350836575.00,48975761.98,0.568549,0.316942,0.458951,1.027509
large_c4000000,16,64,307200,2350836575.00,36731821.48,1.471102,0.238907,0.370773,1.841885
