testcase,npernode,nprocs,image_size,total_weight,target_per_proc,scatter_time,avg_render_time,composite_time,total_time
imbalance_c100000,1,4,76800,3709266845.74,927316711.43,0.043182,0.147370,0.244858,0.288046
imbalance_c100000,2,8,76800,3709266845.74,463658355.72,0.045952,0.074293,0.154899,0.200858
imbalance_c100000,4,16,76800,3709266845.74,231829177.86,0.094816,0.039494,0.140163,0.234988
imbalance_c100000,8,32,76800,3709266845.74,115914588.93,0.139357,0.020989,0.112216,0.251586
imbalance_c100000,12,48,76800,3709266845.74,77276392.62,0.208095,0.014067,0.099717,0.307821
imbalance_c100000,16,64,76800,3709266845.74,57957294.46,1.036531,0.009734,0.096197,1.132734
medium_c200000,1,4,307200,28027119.93,7006779.98,0.048441,0.189659,0.305875,0.354321
medium_c200000,2,8,307200,28027119.93,3503389.99,0.066081,0.096119,0.219293,0.285381
medium_c200000,4,16,307200,28027119.93,1751695.00,0.101137,0.051623,0.194397,0.295545
medium_c200000,8,32,307200,28027119.93,875847.50,0.149275,0.027999,0.161794,0.311081
medium_c200000,12,48,307200,28027119.93,583898.33,0.198641,0.019256,0.150044,0.348696
medium_c200000,16,64,307200,28027119.93,437923.75,1.059899,0.014661,0.147628,1.207536
large_c1000000,1,4,307200,140305555.48,35076388.87,0.074967,0.940639,1.057184,1.132159
large_c1000000,2,8,307200,140305555.48,17538194.44,0.090359,0.473425,0.597351,0.687717
large_c1000000,4,16,307200,140305555.48,8769097.22,0.144397,0.238305,0.384868,0.529273
large_c1000000,8,32,307200,140305555.48,4384548.61,0.246126,0.122925,0.260381,0.506530
large_c1000000,12,48,307200,140305555.48,2923032.41,0.299229,0.083910,0.216577,0.515819
large_c1000000,16,64,307200,140305555.48,2192274.30,1.105685,0.062331,0.194946,1.300640
large_c2000000,1,4,307200,280806826.90,70201706.72,0.109728,1.881898,1.999109,2.108846
large_c2000000,2,8,307200,280806826.90,35100853.36,0.134623,0.943149,1.067598,1.202230
large_c2000000,4,16,307200,280806826.90,17550426.68,0.220046,0.475995,0.618154,0.838212
large_c2000000,8,32,307200,280806826.90,8775213.34,0.293775,0.240213,0.380543,0.674330
large_c2000000,12,48,307200,280806826.90,5850142.23,0.339707,0.161294,0.294354,0.634070
large_c2000000,16,64,307200,280806826.90,4387606.67,1.249949,0.120746,0.247798,1.497758
large_c4000000,1,4,307200,561477667.03,140369416.76,0.197862,3.697606,3.842988,4.040858
large_c4000000,2,8,307200,561477667.03,70184708.38,3.839142,1.511346,1.388370,5.227522
large_c4000000,4,16,307200,561477667.03,35092354.19,0.268736,0.922024,1.087911,1.356653
large_c4000000,8,32,307200,561477667.03,17546177.09,0.356355,0.466001,0.617198,0.973567
large_c4000000,12,48,307200,561477667.03,11697451.40,0.457661,0.316915,0.457861,0.915534
large_c4000000,16,64,307200,561477667.03,8773088.55,1.532643,0.237782,0.369452,1.902105
