testcase,npernode,nprocs,image_size,total_weight,target_per_proc,scatter_time,avg_render_time,composite_time,total_time
imbalance_c100000,1,4,76800,122602358.00,30650589.50,0.038815,0.149437,0.242239,0.281060
imbalance_c100000,2,8,76800,122602358.00,15325294.75,0.049160,0.074769,0.148976,0.198144
imbalance_c100000,4,16,76800,122602358.00,7662647.38,0.100558,0.037646,0.135187,0.235755
imbalance_c100000,8,32,76800,122602358.00,3831323.69,0.138582,0.020399,0.105301,0.243895
imbalance_c100000,12,48,76800,122602358.00,2554215.79,0.197401,0.014247,0.096815,0.294225
imbalance_c100000,16,64,76800,122602358.00,1915661.84,1.051200,0.010052,0.086760,1.137969
medium_c200000,1,4,307200,117343426.00,29335856.50,0.052661,0.190271,0.305928,0.358595
medium_c200000,2,8,307200,117343426.00,14667928.25,0.063565,0.097088,0.220073,0.283644
medium_c200000,4,16,307200,117343426.00,7333964.12,0.111707,0.049625,0.188995,0.300714
medium_c200000,8,32,307200,117343426.00,3666982.06,0.151000,0.027646,0.171271,0.322286
medium_c200000,12,48,307200,117343426.00,2444654.71,0.205625,0.018787,0.148268,0.353904
medium_c200000,16,64,307200,117343426.00,1833491.03,1.091066,0.014458,0.148295,1.239371
large_c1000000,1,4,307200,587376180.00,146844045.00,0.092336,0.952209,1.069397,1.161740
large_c1000000,2,8,307200,587376180.00,73422022.50,0.116616,0.476390,0.602268,0.718891
large_c1000000,4,16,307200,587376180.00,36711011.25,0.182574,0.240473,0.384113,0.566695
large_c1000000,8,32,307200,587376180.00,18355505.62,0.271386,0.123054,0.262939,0.534332
large_c1000000,12,48,307200,587376180.00,12237003.75,0.307675,0.082298,0.217268,0.524956
large_c1000000,16,64,307200,587376180.00,9177752.81,1.106553,0.062233,0.194749,1.301313
large_c2000000,1,4,307200,1175795120.00,293948780.00,0.153427,1.891393,2.017728,2.171162
large_c2000000,2,8,307200,1175795120.00,146974390.00,0.181498,0.952025,1.073774,1.255283
large_c2000000,4,16,307200,1175795120.00,73487195.00,0.257620,0.479065,0.619915,0.877546
large_c2000000,8,32,307200,1175795120.00,36743597.50,0.334649,0.240383,0.384026,0.718684
large_c2000000,12,48,307200,1175795120.00,24495731.67,0.390787,0.162636,0.296926,0.687721
large_c2000000,16,64,307200,1175795120.00,18371798.75,1.308372,0.122179,0.250401,1.558783
large_c4000000,1,4,307200,2350836575.00,587709143.75,0.279008,3.481039,3.790822,4.069837
large_c4000000,2,8,307200,2350836575.00,293854571.88,2.381662,1.627768,1.894310,4.275989
large_c4000000,4,16,307200,2350836575.00,146927285.94,0.359207,0.923659,1.095753,1.454969
large_c4000000,8,32,307200,2350836575.00,73463642.97,0.476252,0.476478,0.620972,1.097234
large_c4000000,12,48,307200,2350836575.00,48975761.98,0.564275,0.317984,0.458201,1.022487
large_c4000000,16,64,307200,2350836575.00,36731821.48,1.428980,0.239677,0.369858,1.798848
