testcase,npernode,nprocs,total_runtime
imbalance_c100000,1,4,0.482474
imbalance_c100000,2,8,0.307152
imbalance_c100000,4,16,0.286488
imbalance_c100000,8,32,0.327918
imbalance_c100000,12,48,0.314037
imbalance_c100000,16,64,1.106978
medium_c200000,1,4,0.604577
medium_c200000,2,8,0.426086
medium_c200000,4,16,0.400470
medium_c200000,8,32,0.429995
medium_c200000,12,48,0.511796
medium_c200000,16,64,1.303787
large_c1000000,1,4,2.293851
large_c1000000,2,8,1.283677
large_c1000000,4,16,0.866355
large_c1000000,8,32,0.720740
large_c1000000,12,48,0.743714
large_c1000000,16,64,1.437973
large_c2000000,1,4,9.161266
large_c2000000,2,8,2.356743
large_c2000000,4,16,1.431658
large_c2000000,8,32,1.025932
large_c2000000,12,48,0.920030
large_c2000000,16,64,1.687319
large_c4000000,1,4,7.325261
large_c4000000,2,8,6.718162
large_c4000000,4,16,2.520632
large_c4000000,8,32,1.569537
large_c4000000,12,48,1.382769
large_c4000000,16,64,2.202634
