testcase,npernode,nprocs,total_runtime
imbalance_c100000,1,4,0.346209
imbalance_c100000,2,8,0.245753
imbalance_c100000,4,16,0.242076
imbalance_c100000,8,32,0.275816
imbalance_c100000,12,48,0.263910
imbalance_c100000,16,64,0.989221
medium_c200000,1,4,0.518467
medium_c200000,2,8,0.365515
medium_c200000,4,16,0.326099
medium_c200000,8,32,0.336471
medium_c200000,12,48,0.357153
medium_c200000,16,64,1.074126
large_c1000000,1,4,1.860486
large_c1000000,2,8,1.042077
large_c1000000,4,16,0.704377
large_c1000000,8,32,0.568451
large_c1000000,12,48,0.562567
large_c1000000,16,64,1.183802
large_c2000000,1,4,3.480239
large_c2000000,2,8,1.924299
large_c2000000,4,16,1.170743
large_c2000000,8,32,0.826463
large_c2000000,12,48,0.721293
large_c2000000,16,64,1.382726
large_c4000000,1,4,5.569408
large_c4000000,2,8,3.396714
large_c4000000,4,16,2.101881
large_c4000000,8,32,1.278290
large_c4000000,12,48,1.067243
large_c4000000,16,64,1.800539
