testcase,npernode,nprocs,total_time,avg_render_time
large_c1000000,1,4,1.194582,0.973699
large_c1000000,2,8,0.685575,0.473738
large_c1000000,3,12,0.567410,0.316657
large_c1000000,4,16,0.531879,0.235620
large_c2000000,2,8,1.196630,0.943412
large_c2000000,4,16,0.825344,0.473809
large_c2000000,6,24,0.714769,0.319877
large_c2000000,8,32,0.690978,0.240169
large_c4000000,4,16,1.389040,0.942471
large_c4000000,8,32,0.997619,0.472096
large_c4000000,12,48,0.893061,0.317038
large_c4000000,16,64,1.842104,0.237809
