testcase,npernode,nprocs,total_runtime,avg_render_time
large_c1000000,1,4,1.878185,1.545446
large_c1000000,2,8,1.049354,0.772761
large_c1000000,3,12,0.821102,0.519221
large_c1000000,4,16,0.717111,0.389991
large_c2000000,2,8,1.926931,1.544280
large_c2000000,4,16,1.203374,0.777972
large_c2000000,6,24,0.951956,0.518793
large_c2000000,8,32,0.839924,0.394063
large_c4000000,4,16,2.085009,1.544960
large_c4000000,8,32,1.332260,0.779322
large_c4000000,12,48,1.123221,0.522628
large_c4000000,16,64,1.689502,0.394460
